northing,easting,latitude,longitude,chi_Region,chi_ChiDistrict,chi_ChiStreet_StreetName,chi_ChiStreet_BuildingNoFrom,chi_ChiEstate_EstateName,eng_EngEstate_EstateName,eng_EngStreet_BuildingNoFrom,eng_EngStreet_StreetName,eng_EngDistrict,eng_Region,geo_address,chi_ChiStreet_BuildingNoTo,eng_EngStreet_BuildingNoTo,chi_BuildingName,eng_BuildingName,chi_ChiBlock_BlockNo,eng_EngBlock_BlockNo,chi_ChiBlock_BlockDescriptor,eng_EngBlock_BlockDescriptor,eng_EngBlock_BlockDescriptorPrecedenceIndicator,chi_ChiEstate_ChiPhase_PhaseName,eng_EngEstate_EngPhase_PhaseName,chi_ChiVillage_VillageName,chi_ChiVillage_BuildingNoFrom,eng_EngVillage_BuildingNoFrom,eng_EngVillage_VillageName,chi_ChiVillage_BuildingNoTo,eng_EngVillage_BuildingNoTo,chi_ChiEstate_ChiPhase_PhaseNo,eng_EngEstate_EngPhase_PhaseNo,chi_ChiVillage_LocationName,eng_EngVillage_LocationName,chi_ChiStreet_LocationName,eng_EngStreet_LocationName
816062.0,833501.0,22.28344,114.15002,香港,中西區,必列者士街,58,英皇書院同學會小學,KING'S COLLEGE OLD BOYS' ASSOCIATION PRIMARY SCHOOL,58,BRIDGES STREET,CENTRAL & WESTERN DISTRICT,HK,3350116067T20050430,,,,,,,,,,,,,,,,,,,,,,,
815940.0,833802.0,22.28234,114.15294,香港,中西區,嘉咸街,46,,,46,GRAHAM STREET,CENTRAL & WESTERN DISTRICT,HK,3380315940T20050430,,,,,,,,,,,,,,,,,,,,,,,
816031.0,833589.0,22.28316,114.15088,香港,中西區,城皇街,17,,,17,SHING WONG STREET,CENTRAL & WESTERN DISTRICT,HK,3359116031T20050430,,,,,,,,,,,,,,,,,,,,,,,
815791.0,833654.0,22.28099,114.15151,香港,中西區,太子台,12,,,12,PRINCE'S TERRACE,CENTRAL & WESTERN DISTRICT,HK,3365315795T20050430,14,14,,,,,,,,,,,,,,,,,,,,,
816328.0,832527.0,22.28584,114.14058,香港,中西區,西邊街,15,,,15,WESTERN STREET,CENTRAL & WESTERN DISTRICT,HK,3252816328T20210720,,,,,,,,,,,,,,,,,,,,,,,
