Column,Value
BuildingName,LEE SHAU KEE HALL
BuildingName,25 PARK ROAD GOVERNMENT QUARTERS BLOCK A
BuildingName,MOUNT AUSTIN ESTATE BLOCK E
BuildingName,MOUNT AUSTIN ESTATE BLOCK H
BuildingName,MOUNT AUSTIN ESTATE BLOCK D
BuildingName,DAVID TRENCH REHABILITATION CENTRE NORTH WING
BuildingName,CITY GALLERY
BuildingName,21 BORRETT ROAD NO.10
BuildingName,21 BORRETT ROAD NO.11
BuildingName,21 BORRETT ROAD NO.3
BuildingName,21 BORRETT ROAD NO.5
BuildingName,21 BORRETT ROAD NO.6
BuildingName,HYDROPONIC GARDEN
BuildingName,GREEN COOK
BuildingName,LIT SHING KUNG
BuildingName,21 BORRETT ROAD NO.7
BuildingName,21 BORRETT ROAD NO.9
BuildingName,21 BORRETT ROAD NO.1
BuildingName,21 BORRETT ROAD NO.8
BuildingName,CHATEAU DE PEAK 8B
BuildingName,KELLETT VIEW TOWN HOUSES BLOCK 4
BuildingName,KELLETT VIEW TOWN HOUSES BLOCK 11
BuildingName,KELLETT VIEW TOWN HOUSES BLOCK 12
BuildingName,FRINGE CLUB
BuildingName,KELLETT VIEW TOWN HOUSES BLOCK 5
BuildingName,ST. JOSEPH'S COLLEGE
BuildingName,DAVID TRENCH REHABILITATION CENTRE SOUTH WING
BuildingName,THE COURT OF FINAL APPEAL
BuildingName,MOUNT AUSTIN ESTATE BLOCK G
BuildingName,AKVO HOTEL
BuildingName,WING ON VILLAS BLOCK D
BuildingName,WING ON VILLAS BLOCK B
BuildingName,WING ON VILLAS BLOCK A
BuildingName,MARRIED INSPECTORS' QUARTERS
BuildingName,THE MOUNT AUSTIN HOUSE F
BuildingName,THE MOUNT AUSTIN HOUSE E
BuildingName,MOUNT AUSTIN ESTATE BLOCK F
BuildingName,THE MOUNT AUSTIN HOUSE G
BuildingName,BONHAM TOWERS
BuildingName,CLOUDRIDGE BLOCK B
BuildingName,CLOUDRIDGE BLOCK D
BuildingName,CLOUDRIDGE BLOCK C
BuildingName,DRAGON HOUSE
BuildingName,CLOUDRIDGE BLOCK A
BuildingName,CHATEAU DE PEAK 8N
BuildingName,CHATEAU DE PEAK 8M
BuildingName,CHATEAU DE PEAK 8L
BuildingName,CHATEAU DE PEAK 8K
BuildingName,PEAK NO. 2 FRESH WATER PUMPING STATION
BuildingName,ON BUILDING
BuildingName,CHATEAU DE PEAK 8A
BuildingName,THE UNIVERSITY OF HONG KONG JOCKEY CLUB STUDENT VILLAGE III SHUN HING COLLEGE
BuildingName,THE UNIVERSITY OF HONG KONG JOCKEY CLUB STUDENT VILLAGE III LAP-CHEE COLLEGE
BuildingName,THE UNIVERSITY OF HONG KONG JOCKEY CLUB STUDENT VILLAGE III NEW COLLEGE
BuildingName,THE UNIVERSITY OF HONG KONG JOCKEY CLUB STUDENT VILLAGE III CHI SUN COLLEGE
BuildingName,CENTRAL MAGISTRACY
BuildingName,VILLA ROSA BLOCK A
BuildingName,VILLA ROSA BLOCK C
BuildingName,MATILDA INTERNATIONAL HOSPITAL GRANVILLE HOUSE
BuildingName,CENTRAL MARKET
BuildingName,ARMOURY
BuildingName,VICTORIA PEAK STATION HK TELECOM RADIO STATION
BuildingName,THE QUEENS
BuildingName,ISLAND SCHOOL
BuildingName,SAI YING POON POST OFFICE BUILDING
BuildingName,GOUGH HILL ROAD HOUSE 6
BuildingName,WESTERN POLICE STATION
BuildingName,YICK FUNG GARDEN BLOCK A
BuildingName,DR SUN YAT-SEN MUSEUM
BuildingName,CHATEAU DE PEAK 8G
BuildingName,CHATEAU DE PEAK 8I
BuildingName,CHATEAU DE PEAK 8J
BuildingName,BARRACK BLOCK
BuildingName,FIRST CHURCH OF CHRIST SCIENTIST HONGKONG
BuildingName,GOUGH HILL ROAD HOUSE 1
BuildingName,MARRIED SERGEANTS' QUARTERS
BuildingName,JOYFUL HOUSE
BuildingName,YOO 18 BONHAM
BuildingName,CHEUNG KONG CENTER II
BuildingName,PODIUM
BuildingName,HIGH PEAK
BuildingName,DL TOWER
BuildingName,KAMMING HSE
BuildingName,PETER BUILDING
BuildingName,EURASIA BUILDING
BuildingName,CATHOLIC MISSION SCHOOL
BuildingName,CARBO MANSION
BuildingName,GENERAL COMMERCIAL BUILDING
BuildingName,E168
BuildingName,WING HANG INSURANCE BUILDING
BuildingName,SHING HING COMMERCIAL BUILDING
BuildingName,KAM BONG BUILDING
BuildingName,WING FU BUILDING
BuildingName,WILLY COMMERCIAL BUILDING
BuildingName,SUN LEE BUILDING
BuildingName,SKYLA
BuildingName,GREENLAND COURT
BuildingName,BEST VIEW COURT
BuildingName,WELSBY COURT
BuildingName,GROSVENOR HOUSE
BuildingName,GLADDON
BuildingName,VILLA VENETO
BuildingName,DRAGONVIEW COURT
BuildingName,ALPINE COURT
BuildingName,MEDALLION HEIGHTS
BuildingName,SKYLINE MANSION
BuildingName,FOO SANG BUILDING
BuildingName,KWONG FAT HONG BUILDING
BuildingName,DUKE WELLINGTON HSE
BuildingName,LE CAINE MANSION
BuildingName,NEW CENTRAL MANSION
BuildingName,FOOK CHI HOUSE
BuildingName,TACK BUILDING
BuildingName,CHEONG TAI COMMERCIAL BUILDING
BuildingName,SI TOI COMMERCIAL BUILDING
BuildingName,CHEUNG FAI BUILDING
BuildingName,WINNING HSE
BuildingName,FOOK WAH MANSIONS
BuildingName,KAI TAK COMMERCIAL BUILDING
BuildingName,YUEN FAT MANSION
BuildingName,TAI SANG BUILDING
BuildingName,TUNG HING MANSION
BuildingName,WING TAI MANSION
BuildingName,PO SHU MANSION
BuildingName,KAI FUNG BUILDING
BuildingName,MAI HING HOUSE
BuildingName,HING HON BUILDING
BuildingName,LIANG GA BUILDING
BuildingName,TAI PAK COURT
BuildingName,KA FU BUILDING
BuildingName,TUNG LEE MANSION
BuildingName,WON HING BUILDING
BuildingName,STAUNTON BUILDING
BuildingName,KWAN FAT BUILDING
BuildingName,REGENT CENTRE
BuildingName,WINGS BUILDING
BuildingName,ROCKSON MANSION
BuildingName,WING WAH MANSION
BuildingName,KENNEDY MANSION
BuildingName,SAI WAN NEW APARTMENTS
BuildingName,SUN SHING BUILDING
BuildingName,YUE YEE MANSION
BuildingName,TAK TUNG HOUSE
BuildingName,KAM KWAN BUILDING
BuildingName,HONG MING BUILDING
BuildingName,SANG CHEONG BUILDING
BuildingName,TAK LEE BUILDING
BuildingName,LUEN HONG APARTMENTS
BuildingName,WAH LAP HOUSE
BuildingName,YU YEE BUILDING
BuildingName,CADO BUILDING
BuildingName,CHEONG FAI BUILDING
BuildingName,LUEN TAK BUILDING
BuildingName,FORTUNA BUILDING
BuildingName,MING FAT BUILDING
BuildingName,TAK WOO HSE
BuildingName,PO GA BUILDING
BuildingName,KUNG LEE CHURCH MANSIONS
BuildingName,CHAMPION BUILDING
BuildingName,SUN LUEN BUILDING
BuildingName,YUE TAK HOUSE
BuildingName,KING MING MANSION
BuildingName,KIN YICK MANSION
BuildingName,TIN HING MANSION
BuildingName,WING FOO BUILDING
BuildingName,PO SHAN MANSIONS
BuildingName,FAIRVIEW MANSION
BuildingName,LAI CHEUNG HSE
BuildingName,VISTA MOUNT DAVIS
BuildingName,SUN FUNG MANSION
BuildingName,SUNRISE HSE
BuildingName,HONG KONG CENTRAL HOSPITAL
BuildingName,ALFRED HSE
BuildingName,GALUXE BUILDING
BuildingName,SIU CHEUNG BUILDING
BuildingName,HING WAH HOUSE
BuildingName,FULL HARVEST BUILDING
BuildingName,TAI HONG BUILDING
BuildingName,HANG HING COURT
BuildingName,SAN HEY LOU
BuildingName,FOOK MOON BUILDING
BuildingName,WAH PO BUILDING
BuildingName,CHEONG KING COURT
BuildingName,WING SING COURT
BuildingName,PACIFIC HSE
BuildingName,ZETLAND HALL
BuildingName,PACIFIC PLACE APARTMENTS
BuildingName,CHEONG WING COURT
BuildingName,CHEONG YUE MANSION
BuildingName,KAM PO MANSION
BuildingName,KIN LIONG MANSION
BuildingName,HANG SING MANSION
BuildingName,LAI ON BUILDING
BuildingName,POKFIELD GARDEN
BuildingName,FU TAI MANSION
BuildingName,KWONG YUEN LAU
BuildingName,DOR FOOK MANSION
BuildingName,CHUNG SHAN HOUSE
BuildingName,WANG HING BUILDING
BuildingName,WILMER BUILDING
BuildingName,LYNDHURST BUILDING
BuildingName,TUNG KONG BUILDING
BuildingName,KAI FAT BUILDING
BuildingName,THE PLATINUM HOLLYWOOD
BuildingName,WING FAT BUILDING
BuildingName,WING CHEONG COMMERCIAL BUILDING
BuildingName,GOA BUILDING
BuildingName,TAK YAN BUILDING
BuildingName,KAI FUNG MANSION
BuildingName,SIK ON HOUSE
BuildingName,SUM WAY MANSION
BuildingName,CHESTER COURT
BuildingName,TAI WING HOUSE
BuildingName,SINGGA COMMERCIAL CENTRE
BuildingName,PRINCE'S BUILDING
BuildingName,JOHNSON MANSION
BuildingName,WING HING HOUSE
BuildingName,SUN ON BUILDING
